repair_id,product_id,sku,component_id,component_type,failure_date,failure_type,failure_description,repair_status,repair_cost,replacement_cost,downtime_days,warranty_claim
R0000001,P000002,LP-GIGABYTE-PRO-IX1-2024,BAT-GIGABYTE-PRO-IX1-2024,Battery,2024-02-09,Battery not charging,Battery not charging reported for battery.,Component Replaced,209.62,209.62,3,True
R0000002,P000003,LP-DELL-CREATOR-GIQ-2024,KBD-DELL-CREATOR-GIQ-2024,Keyboard,2024-09-19,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,120.26,120.26,1,True
R0000003,P000007,LP-DELL-NITRO-614-2024,MB-DELL-NITRO-614-2024,Motherboard,2025-09-28,Boot failure,Boot failure reported for motherboard.,Component Replaced,567.57,567.57,14,True
R0000004,P000009,LP-APPLE-BLADE-0BN-2023,RAM-APPLE-BLADE-0BN-2023,RAM,2026-06-24,Memory error,Memory error reported for ram.,Component Replaced,303.19,303.19,1,False
R0000005,P000012,LP-APPLE-AIR-W7N-2022,BAT-APPLE-AIR-W7N-2022,Battery,2023-05-08,Battery not charging,Battery not charging reported for battery.,End of Life,65.99,350.05,2,False
R0000006,P000013,LP-SAMSUNG-BLADE-1NN-2024,BAT-SAMSUNG-BLADE-1NN-2024,Battery,2026-07-17,Battery not charging,Battery not charging reported for battery.,Component Replaced,214.03,214.03,3,False
R0000007,P000015,LP-SAMSUNG-SLIM-OOO-2021,MB-SAMSUNG-SLIM-OOO-2021,Motherboard,2022-09-19,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,653.9,653.9,11,True
R0000008,P000016,LP-HP-THINK-E41-2021,MB-HP-THINK-E41-2021,Motherboard,2024-10-06,Boot failure,Boot failure reported for motherboard.,Component Replaced,315.9,315.9,9,False
R0000009,P000017,LP-APPLE-THINK-YDD-2020,DSP-APPLE-THINK-YDD-2020,Display,2021-07-02,Dead pixels,Dead pixels reported for display.,Component Replaced,688.82,688.82,3,True
R0000010,P000017,LP-APPLE-THINK-YDD-2020,BAT-APPLE-THINK-YDD-2020,Battery,2022-12-09,Battery swelling,Battery swelling reported for battery.,Component Replaced,241.81,241.81,2,False
R0000011,P000019,LP-ACER-CREATOR-WM6-2023,MB-ACER-CREATOR-WM6-2023,Motherboard,2025-09-11,Boot failure,Boot failure reported for motherboard.,Component Replaced,582.49,582.49,7,False
R0000012,P000020,LP-HP-STEALTH-JXJ-2024,MB-HP-STEALTH-JXJ-2024,Motherboard,2024-03-04,Boot failure,Boot failure reported for motherboard.,Component Replaced,470.59,470.59,11,True
R0000013,P000021,LP-SAMSUNG-NITRO-LFH-2022,BAT-SAMSUNG-NITRO-LFH-2022,Battery,2025-08-26,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,246.64,246.64,2,True
R0000014,P000021,LP-SAMSUNG-NITRO-LFH-2022,SSD-SAMSUNG-NITRO-LFH-2022,SSD,2026-05-12,Performance degradation,Performance degradation reported for ssd.,Component Replaced,250.3,250.3,6,False
R0000015,P000022,LP-LENOVO-LEGION-S6M-2022,BAT-LENOVO-LEGION-S6M-2022,Battery,2025-10-12,Battery swelling,Battery swelling reported for battery.,Component Replaced,123.13,123.13,2,False
R0000016,P000023,LP-ASUS-BLADE-2FW-2023,RAM-ASUS-BLADE-2FW-2023,RAM,2025-07-24,RAM module failure,RAM module failure reported for ram.,Component Replaced,271.48,271.48,4,False
R0000017,P000024,LP-MSI-THINK-CPX-2024,DSP-MSI-THINK-CPX-2024,Display,2024-01-03,Dead pixels,Dead pixels reported for display.,Component Replaced,593.45,593.45,7,True
R0000018,P000025,LP-DELL-SLIM-YB5-2020,KBD-DELL-SLIM-YB5-2020,Keyboard,2026-04-06,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,91.35,91.35,2,False
R0000019,P000026,LP-HP-SLIM-7K8-2021,BAT-HP-SLIM-7K8-2021,Battery,2023-06-02,Battery not charging,Battery not charging reported for battery.,Component Replaced,196.03,196.03,2,True
R0000020,P000028,LP-LENOVO-AIR-A7O-2019,DSP-LENOVO-AIR-A7O-2019,Display,2026-04-29,Backlight failure,Backlight failure reported for display.,Component Replaced,332.79,332.79,7,False
R0000021,P000030,LP-HP-PRO-KBJ-2024,MB-HP-PRO-KBJ-2024,Motherboard,2024-03-02,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,168.85,332.76,15,True
R0000022,P000030,LP-HP-PRO-KBJ-2024,DSP-HP-PRO-KBJ-2024,Display,2025-07-04,Screen flickering,Screen flickering reported for display.,Component Replaced,243.94,243.94,8,False
R0000023,P000033,LP-SAMSUNG-AIR-T5O-2025,MB-SAMSUNG-AIR-T5O-2025,Motherboard,2026-06-23,Power failure,Power failure reported for motherboard.,Component Replaced,674.17,674.17,11,True
R0000024,P000035,LP-APPLE-ZEN-4U3-2024,MB-APPLE-ZEN-4U3-2024,Motherboard,2026-04-06,System instability,System instability reported for motherboard.,Component Replaced,515.98,515.98,11,True
R0000025,P000035,LP-APPLE-ZEN-4U3-2024,BAT-APPLE-ZEN-4U3-2024,Battery,2025-09-20,Battery swelling,Battery swelling reported for battery.,Component Replaced,168.23,168.23,4,True
R0000026,P000037,LP-LENOVO-BLADE-J8E-2023,MB-LENOVO-BLADE-J8E-2023,Motherboard,2026-07-08,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,492.03,492.03,10,False
R0000027,P000038,LP-APPLE-ZEN-DAZ-2024,SSD-APPLE-ZEN-DAZ-2024,SSD,2025-05-04,Drive not detected,Drive not detected reported for ssd.,Repaired,90.09,200.94,7,True
R0000028,P000039,LP-ACER-CREATOR-Q7S-2022,BAT-ACER-CREATOR-Q7S-2022,Battery,2022-01-31,Battery degradation,Battery degradation reported for battery.,Component Replaced,139.56,139.56,3,True
R0000029,P000040,LP-LENOVO-SLIM-QH3-2022,SSD-LENOVO-SLIM-QH3-2022,SSD,2022-06-29,Read/write errors,Read/write errors reported for ssd.,Component Replaced,188.14,188.14,7,True
R0000030,P000044,LP-HP-NITRO-PL6-2021,MB-HP-NITRO-PL6-2021,Motherboard,2023-08-18,Boot failure,Boot failure reported for motherboard.,Component Replaced,262.21,262.21,9,False
R0000031,P000044,LP-HP-NITRO-PL6-2021,BAT-HP-NITRO-PL6-2021,Battery,2022-03-21,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,30.99,101.33,1,True
R0000032,P000045,LP-MSI-SLIM-LW9-2023,KBD-MSI-SLIM-LW9-2023,Keyboard,2023-08-07,Key failure,Key failure reported for keyboard.,Component Replaced,65.14,65.14,5,True
R0000033,P000046,LP-ASUS-BLADE-9J8-2024,MB-ASUS-BLADE-9J8-2024,Motherboard,2024-12-17,System instability,System instability reported for motherboard.,Repaired,244.4,581.79,12,True
R0000034,P000046,LP-ASUS-BLADE-9J8-2024,BAT-ASUS-BLADE-9J8-2024,Battery,2026-01-10,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,228.98,228.98,4,False
R0000035,P000047,LP-HP-NITRO-806-2021,SSD-HP-NITRO-806-2021,SSD,2026-07-28,Storage failure,Storage failure reported for ssd.,End of Life,10.2,138.92,3,False
